asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth
B01N4Q45I3,Pioneer Hi-Vis 5-pt Tear-Away Traffic Safety Vest - Breathable Poly Mesh - Drop Shoulder - Black - V1021470-S/M,https://m.media-amazon.com/images/I/61l22amt5vL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01N4Q45I3,4.2,301,13.9,0,Industrial  Scientific,FALSE,50
B07LC23SVM,Nanoleaf Canvas Smarter Kit,https://m.media-amazon.com/images/I/61dZGNRCAWL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07LC23SVM,4.5,975,229.99,0,Industrial  Scientific,FALSE,0
B088RF2MHN,"SAICOOS Whiskey Stones 16 Pack,Reusable Ice Cubes, High Cooling Technology，Stainless Steel Ice Cubes, for Whiskey, Vodka, Liqueurs, Wine,Beverage Juice or Soda, Pack of 16…",https://m.media-amazon.com/images/I/71HfaypyXnL._AC_UL320_.jpg,https://www.amazon.ca/dp/B088RF2MHN,4.3,1002,35.99,0,Industrial  Scientific,FALSE,50
B0BNBLN82Q,"Bath Sealant Strip, Shower Seal Strip, Self-Adhesive Sealant Tape, Shower Threshold Water Barrier for Sink, Bathtub, Wet Room Floor (White(2M))",https://m.media-amazon.com/images/I/51mPHNK3ajL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BNBLN82Q,3.4,55,15.99,0,Industrial  Scientific,FALSE,100
B078FZ3KQJ,Gunpla 3 Pieces 4-1/2-inch 40 Tooth Alloy Steel TCT General Purpose Hard & Soft Wood Cutting Saw Blade with 7/8-inch Arbor,https://m.media-amazon.com/images/I/61pLqaHYp7L._AC_UL320_.jpg,https://www.amazon.ca/dp/B078FZ3KQJ,4.5,2367,17.08,0,Industrial  Scientific,FALSE,50
B09M6JXQ34,"M6 x 12/16/20/25/30mm Flanged Hex Bolts and M8 x 16/20/25/30mm Flange Hexagon Screws, VIGURE 228PCS Stainless Steel 18-8 (304) M6-1.0 M8-1.25 Bolts Nuts Flat Lock Washers",https://m.media-amazon.com/images/I/81EWeOowqPL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09M6JXQ34,4.6,136,36.99,0,Industrial  Scientific,FALSE,50
B0948QFG6G,"Digital Caliper, MOOCK 0-6 inches Caliper Measuring Tool Electronic Digital Calipers Micrometer Vernier Caliper with Stainless Steel, Large LCD Screen, Inch Millimeter Fractions Conversion",https://m.media-amazon.com/images/I/51jjI2tdCHL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0948QFG6G,4.2,1699,18.99,0,Industrial  Scientific,FALSE,50
B0991V1CD3,"Monbessi Work Knee Pads for Construction, Adjustable No-Slip Knee Protector with Thick Foam Padding for Housework, Gardening, Flooring, Roofing, Sports",https://m.media-amazon.com/images/I/91ifURm2uAL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0991V1CD3,4,142,22.98,0,Industrial  Scientific,FALSE,50
B089F9VF6P,"UGREEN USB Cable USB 3.0 A to A Cable Male to Male 5Gbps Data Transfer Cord Nylon Braided Cable for Hard Drive Enclosure, TV Box, Modem, Camera, Printer, Laptop Cooling Fan, 6ft",https://m.media-amazon.com/images/I/61pFkhbmFBL._AC_UL320_.jpg,https://www.amazon.ca/dp/B089F9VF6P,4.5,5108,13.99,0,Industrial  Scientific,FALSE,50
B0179MXKU8,"CableCreation Active USB 3.0 Extension Cable 16.4 FT, USB 3.0 Extender Male to Female Cord with Signal Booster, Compatible with Oculus Quest 2, and Rift Sensor, Steam VR, Gaming PC, 5 Meters",https://m.media-amazon.com/images/I/61Ou4KMluWL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0179MXKU8,4.5,7251,27.99,29.99,Industrial  Scientific,FALSE,0
B07V7B2WMZ,"UGREEN USB to USB C Cable 2Pack, 18W Dual Right Angle USB C Cable Fast Charge, 90 Degree USB C Charging Cord for Galaxy A53 A71 A03 S22 S21 S20 FE, Pixel 6a 5, LG G8 V50 V60, Moto G G53, 3FT",https://m.media-amazon.com/images/I/71o74oRBz2L._AC_UL320_.jpg,https://www.amazon.ca/dp/B07V7B2WMZ,4.4,5364,16.99,0,Industrial  Scientific,FALSE,0
B09CPNLZ1L,HOMOKUS Wine Rack Countertop Metal Wine Holder Tabletop Wine Rack Storage Wine Shelf Portable Wine Cabinet Freestanding Wine Holder for Bar Counter Restaurant Table and Living Room (Rosegold),https://m.media-amazon.com/images/I/61LY2LI8IHL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09CPNLZ1L,4.3,38,21.99,25.99,Industrial  Scientific,FALSE,0
B08LZKLKW8,"2"" Plate Caster Wheels Heavy Duty 600 Lbs Load Capacity Swivel Casters with Brake Set of 4, Safety Dual Locking, No Noise Wheels for Furniture, Carts (Free Screws and Screwdriver)",https://m.media-amazon.com/images/I/71MRoYHPIBL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08LZKLKW8,4.7,1427,24.99,0,Industrial  Scientific,FALSE,50
